Синоптический индекс станции,year,month,day,hour,Общее количество облачности,Количество облачности нижнего яруса,HLC,Форма облаков среднего яруса,Форма облаков вертикального развития,Слоистые и слоисто-кучевые облака,Слоисто-дождевые облака,Погода между сроками,Погода в срок наблюдения,date,timestamp,datetime
29430,2010,1,1,6,0,0,0,0,0,0,0,1,2.0,2010-01-01 06:00:00,1262325600,2010-01-01 06:00:00
29430,2010,1,1,9,6,0,1,0,0,0,0,1,2.0,2010-01-01 09:00:00,1262336400,2010-01-01 09:00:00
29430,2010,1,1,12,0,0,0,0,0,0,0,1,2.0,2010-01-01 12:00:00,1262347200,2010-01-01 12:00:00
29430,2010,1,1,15,0,0,0,0,0,0,0,0,2.0,2010-01-01 15:00:00,1262358000,2010-01-01 15:00:00
29430,2010,1,1,18,0,0,0,0,0,0,0,0,2.0,2010-01-01 18:00:00,1262368800,2010-01-01 18:00:00
29430,2010,1,1,21,0,0,0,0,0,0,0,0,2.0,2010-01-01 21:00:00,1262379600,2010-01-01 21:00:00
29430,2010,1,2,0,0,0,0,0,0,0,0,0,2.0,2010-01-02 00:00:00,1262390400,2010-01-02 00:00:00
29430,2010,1,2,3,0,0,0,0,0,0,0,0,2.0,2010-01-02 03:00:00,1262401200,2010-01-02 03:00:00
29430,2010,1,2,6,0,0,0,0,0,0,0,0,2.0,2010-01-02 06:00:00,1262412000,2010-01-02 06:00:00
29430,2010,1,2,9,0,0,0,0,0,0,0,0,2.0,2010-01-02 09:00:00,1262422800,2010-01-02 09:00:00
29430,2010,1,2,12,0,0,0,0,0,0,0,0,2.0,2010-01-02 12:00:00,1262433600,2010-01-02 12:00:00
29430,2010,1,2,15,0,0,0,0,0,0,0,0,2.0,2010-01-02 15:00:00,1262444400,2010-01-02 15:00:00
29430,2010,1,2,18,0,0,0,0,0,0,0,0,2.0,2010-01-02 18:00:00,1262455200,2010-01-02 18:00:00
29430,2010,1,2,21,0,0,0,0,0,0,0,0,2.0,2010-01-02 21:00:00,1262466000,2010-01-02 21:00:00
29430,2010,1,3,0,0,0,0,0,0,0,0,0,2.0,2010-01-03 00:00:00,1262476800,2010-01-03 00:00:00
29430,2010,1,3,3,0,0,0,0,0,0,0,0,2.0,2010-01-03 03:00:00,1262487600,2010-01-03 03:00:00
29430,2010,1,3,6,0,0,0,0,0,0,0,0,2.0,2010-01-03 06:00:00,1262498400,2010-01-03 06:00:00
29430,2010,1,3,9,1,0,1,0,0,0,0,0,2.0,2010-01-03 09:00:00,1262509200,2010-01-03 09:00:00
29430,2010,1,3,12,2,0,1,0,0,0,0,3,36.0,2010-01-03 12:00:00,1262520000,2010-01-03 12:00:00
29430,2010,1,3,15,2,0,1,0,0,0,0,3,36.0,2010-01-03 15:00:00,1262530800,2010-01-03 15:00:00
29430,2010,1,3,18,0,0,0,0,0,0,0,3,36.0,2010-01-03 18:00:00,1262541600,2010-01-03 18:00:00
29430,2010,1,3,21,0,0,0,0,0,0,0,3,36.0,2010-01-03 21:00:00,1262552400,2010-01-03 21:00:00
29430,2010,1,4,0,0,0,0,0,0,0,0,3,36.0,2010-01-04 00:00:00,1262563200,2010-01-04 00:00:00
29430,2010,1,4,3,0,0,0,0,0,0,0,3,36.0,2010-01-04 03:00:00,1262574000,2010-01-04 03:00:00
29430,2010,1,4,6,0,0,0,0,0,0,0,3,36.0,2010-01-04 06:00:00,1262584800,2010-01-04 06:00:00
29430,2010,1,4,9,0,0,0,0,0,0,0,3,36.0,2010-01-04 09:00:00,1262595600,2010-01-04 09:00:00
29430,2010,1,4,12,0,0,0,0,0,0,0,3,2.0,2010-01-04 12:00:00,1262606400,2010-01-04 12:00:00
29430,2010,1,4,15,0,0,0,0,0,0,0,0,2.0,2010-01-04 15:00:00,1262617200,2010-01-04 15:00:00
